customer_state,total_orders,late_orders,avg_delay_days,avg_review,late_pct
AL,397,95,7.707808564231738,3.8477157360406093,23.9
MA,717,141,8.571827057182706,3.832865168539326,19.7
PI,476,76,10.306722689075631,3.9936305732484074,16.0
CE,1279,196,9.80453479280688,3.9442262372348784,15.3
SE,335,51,9.02089552238806,3.907185628742515,15.2
BA,3256,457,9.79453316953317,3.930628677609167,14.0
RJ,12350,1664,10.761214574898785,3.965440995823438,13.5
TO,274,35,11.13138686131387,4.153846153846154,12.8
PA,946,117,13.066596194503171,3.9142550911039655,12.4
RR,41,5,16.29268292682927,3.902439024390244,12.2
ES,1995,244,9.496240601503759,4.078720162519045,12.2
MS,701,81,10.052781740370898,4.161659513590844,11.6
PB,517,57,12.261121856866538,4.076171875,11.0
PE,1593,172,12.293785310734464,4.082963901203294,10.8
RN,474,51,12.649789029535865,4.150743099787686,10.8
SC,3546,346,10.503384094754653,4.133560670645069,9.8
GO,1957,160,11.185487991824221,4.105858170606372,8.2
DF,2080,147,11.048076923076923,4.131400966183575,7.1
RS,5344,382,12.910366766467066,4.184754036800601,7.1
MT,886,60,13.363431151241535,4.145620022753128,6.8
SP,40494,2387,10.075542055613177,4.2457904932200865,5.9
MG,11354,637,12.242998062356879,4.192290651307045,5.6
PR,4923,246,12.314239284988828,4.239795918367347,5.0
AP,67,3,18.686567164179106,4.242424242424242,4.5
AM,145,6,18.56551724137931,4.243055555555555,4.1
AC,80,3,19.725,4.0875,3.8
RO,243,7,19.102880658436213,4.1652892561983474,2.9
